,bigbag_filling_time_end,time_start
311,2019-01-08 17:20:00.000,2019-01-08 15:45:00.000
312,2019-01-08 18:50:00.000,2019-01-08 17:20:00.000
313,2019-01-08 19:45:00.000,2019-01-08 18:50:00.000
314,2019-02-26 14:15:00.000,2019-02-26 12:30:00.000
315,2019-02-26 15:50:00.000,2019-02-26 14:15:00.000
316,2019-02-26 17:15:00.000,2019-02-26 15:50:00.000
317,2019-02-26 19:05:00.000,2019-02-26 17:15:00.000
318,2019-02-26 20:55:00.000,2019-02-26 19:05:00.000
319,2019-02-26 22:20:00.000,2019-02-26 20:55:00.000
320,2019-02-26 00:00:00.000,2019-02-25 22:20:00.000
321,2019-02-26 01:25:00.000,2019-02-26 00:00:00.000
322,2019-02-26 03:20:00.000,2019-02-26 01:25:00.000
323,2019-02-26 04:50:00.000,2019-02-26 03:20:00.000
324,2019-02-27 06:25:00.000,2019-02-27 04:50:00.000
325,2019-02-27 07:55:00.000,2019-02-27 06:25:00.000
326,2019-02-27 09:40:00.000,2019-02-27 07:50:00.000
327,2019-02-27 11:25:00.000,2019-02-27 09:40:00.000
328,2019-02-27 12:45:00.000,2019-02-27 11:25:00.000
329,2019-02-27 14:20:00.000,2019-02-27 12:45:00.000
330,2019-02-27 15:55:00.000,2019-02-27 14:20:00.000
331,2019-02-27 19:55:00.000,2019-02-27 18:15:00.000
332,2019-02-27 21:15:00.000,2019-02-27 19:55:00.000
333,2019-02-27 23:05:00.000,2019-02-27 21:15:00.000
334,2019-02-28 00:40:00.000,2019-02-27 23:05:00.000
335,2019-02-28 02:25:00.000,2019-02-28 00:40:00.000
336,2019-02-28 03:50:00.000,2019-02-28 02:25:00.000
337,2019-02-28 05:15:00.000,2019-02-28 03:50:00.000
338,2019-02-18 06:40:00.000,2019-02-18 05:15:00.000
339,2019-02-18 08:00:00.000,2019-02-18 06:40:00.000
340,2019-02-18 09:25:00.000,2019-02-18 08:00:00.000
341,2019-02-18 10:50:00.000,2019-02-18 09:25:00.000
342,2019-02-18 12:10:00.000,2019-02-18 10:50:00.000
343,2019-02-18 13:35:00.000,2019-02-18 12:10:00.000
344,2019-02-18 14:55:00.000,2019-02-18 13:35:00.000
345,2019-02-18 16:25:00.000,2019-02-18 14:55:00.000
346,2019-02-18 17:40:00.000,2019-02-18 16:25:00.000
347,2019-02-18 19:10:00.000,2019-02-18 17:40:00.000
348,2019-02-18 20:45:00.000,2019-02-18 19:10:00.000
349,2019-02-18 22:10:00.000,2019-02-18 20:45:00.000
350,2019-02-19 00:05:00.000,2019-02-18 22:10:00.000
351,2019-02-19 01:20:00.000,2019-02-19 00:05:00.000
352,2019-02-19 02:50:00.000,2019-02-19 01:20:00.000
353,2019-02-19 04:10:00.000,2019-02-19 02:50:00.000
354,2019-02-19 05:30:00.000,2019-02-19 04:10:00.000
355,2019-03-01 07:05:00.000,2019-03-01 05:30:00.000
356,2019-03-01 08:30:00.000,2019-03-01 07:05:00.000
357,2019-03-01 10:00:00.000,2019-03-01 08:30:00.000
358,2019-03-01 11:30:00.000,2019-03-01 10:00:00.000
359,2019-03-01 13:05:00.000,2019-03-01 11:30:00.000
360,2019-03-01 14:25:00.000,2019-03-01 13:05:00.000
361,2019-03-01 15:40:00.000,2019-03-01 14:25:00.000
362,2019-03-01 17:00:00.000,2019-03-01 15:40:00.000
363,2019-03-01 18:20:00.000,2019-03-01 17:00:00.000
364,2019-03-01 19:25:00.000,2019-03-01 18:20:00.000
365,2019-03-01 20:10:00.000,2019-03-01 19:25:00.000
